Number,Fuente,Author,Year,Title,Publication,Pages,Language
6784,WoS,"Tripp-Valdez, Miguel A.; Garcia de Leon, Francisco J.; Ortega-Garcia, Sofia; Lluch-Cota, Daniel; Lopez-Martinez, Juana; Cruz, Pedro",2010,"Population genetic structure of dolphinfish (<i>Coryphaena</i> <i>hippurus</i>) in the Gulf of California, using microsatellite loci",,,en
6785,WoS,"Bello-Bedoy, Rafael; Nunez-Farfan, Juan",2010,Cost of inbreeding in resistance to herbivores in <i>Datura stramonium</i>,,,en
6786,WoS,"Cabrera-Toledo, Danae; Gonzalez-Astorga, Jorge; Nicolalde-Morejon, Fernando; Vergara-Silva, Francisco; Vovides, Andrew P.",2010,"Allozyme diversity levels in two congeneric <i>Dioon</i> spp. (Zamiaceae, Cycadales) with contrasting rarities",,,en
6787,WoS,"Moreira, Rennan G.; McCauley, Ross A.; Cortes-Palomec, Aurea C.; Fernandes, G. Wilson; Oyama, Ken",2010,"Spatial genetic structure of <i>Coccoloba cereifera</i> (Polygonaceae), a critically endangered microendemic species of Brazilian rupestrian fields",,,en
6788,WoS,"del Roci Ruenes-Morales, Maria; Casas, Alejandro; Jose Jimenez-Osornio, Juan; Caballero, Javier",2010,ETHNOBOTANY OF <i>Spondias purpurea</i> L. (ANACARDIACEAE) IN THE YUCATAN PENINSULA,,,en
6789,WoS,"Lazcano, Antonio",2010,Which Way to Life?,,,en
6790,WoS,"Gamboa, Ana M.; Hidalgo, Claudia; De Leon, Fernando; Etchevers, Jorge D.; Gallardo, Juan F.; Campo, Julio",2010,Nutrient Addition Differentially Affects Soil Carbon Sequestration in Secondary Tropical Dry Forests: Early- versus Late-Succession Stages,,,en
6791,WoS,"Garza Rodriguez, Maria de Lourdes; Rodriguez Rodriguez, Diana R.; Blitvich, Bradley J.; Reyes Lopez, Miguel A.; Fernandez-Salas, Ildefonso; Ramos Jimenez, Javier; Farfan-Ale, Jose A.; Cazares Tamez, Rogelio; Martinez Longoria, Cesar; Tavitas Aguilar, Maria I.; Maria Rivas-Estilla, Ana",2010,"Serologic Surveillance for West Nile Virus and Other Flaviviruses in Febrile Patients, Encephalitic Patients, and Asymptomatic Blood Donors in Northern Mexico",,,en
6792,WoS,"Benitez, Mariana; Alvarez-Buylla, Elena R.",2010,Dynamic-module redundancy confers robustness to the gene regulatory network involved in hair patterning of <i>Arabidopsis</i> epidermis,,,en
6793,WoS,"Alberto Garcia-Sepulveda, Christian; Carrillo-Acuna, Enrique; Elizabeth Guerra-Palomares, Sandra; Barriga-Moreno, Montserrat",2010,Maxiprep genomic DNA extractions for molecular epidemiology studies and biorepositories,,,en
6794,WoS,"Ines Villasenor-Sanchez, Emma; Dirzo, Rodolfo; Renton, Katherine",2010,Importance of the lilac-crowned parrot in pre-dispersal seed predation of <i>Astronium graveolens</i> in a Mexican tropical dry forest,,,en
6795,WoS,"Botello, Alejandro; Alvarez, Fernando",2010,"Genetic variation in the stygobitic shrimp <i>Creaseria morleyi</i> (Decapoda: Palaemonidae), evidence of bottlenecks and re-invasions in the Yucatan Peninsula",,,en
6796,WoS,"Flores Martinez, Alejandro; Isabel Manzanero Medina, Gladys; Golubov, Jordan; Montna, Carlos; Mandujano, Maria C.",2010,Demography of an endangered endemic rupicolous cactus,,,en
6797,WoS,"Maria Pons, Jose; Vicens, Enric; Pichardo, Yolanda; Aguilar, Javier; Oviedo, Angelica; Alencaster, Gloria; Garcia-Barrera, Pedro",2010,A NEW EARLY CAMPANIAN RUDIST FAUNA FROM SAN LUIS POTOSI IN MEXICO AND ITS TAXONOMIC AND STRATIGRAPHIC SIGNIFICANCE,,,en
6798,WoS,"Sandoval-Castellanos, Edson",2010,Testing temporal changes in allele frequencies: a simulation approach,,,en
6799,WoS,"Ortega-Alvarez, Ruben; MacGregor-Fors, Ian",2010,WHAT MATTERS MOST? RELATIVE EFFECT OF URBAN HABITAT TRAITS AND HAZARDS ON URBAN PARK BIRDS,,,en
6800,WoS,"Bonaccorso, Elisa; Peterson, A. Townsend; Navarro-Sigueenza, Adolfo G.; Fleischer, Robert C.",2010,Molecular systematics and evolution of the <i>Cyanocorax</i> jays,,,en
6801,WoS,"Gonzalez, Maria C.; Hanlin, Richard T.",2010,Potential use of marine arenicolous ascomycetes as bioindicators of ecosystem disturbance on sandy Cancun beaches: <i>Corollospora maritima</i> as a candidate species,,,en
6802,WoS,"Angel Martinez-Morales, Miguel; Zuria, Iriana; Chapa-Vargas, Leonardo; MacGregor-Fors, Ian; Ortega-Alvarez, Ruben; Romero-Aguila, Edgar; Carbo, Pilar",2010,Current distribution and predicted geographic expansion of the Rufous-backed Robin in Mexico: a fading endemism?,,,en
6803,WoS,"Mantilla-Beniers, N. B.; Bjornstad, O. N.; Grenfell, B. T.; Rohani, P.",2010,Decreasing stochasticity through enhanced seasonality in measles epidemics,,,en
6804,WoS,"Delaye, Luis; Moya, Andres",2010,Evolution of reduced prokaryotic genomes and the minimal cell concept: Variations on a theme,,,en
6805,WoS,"Montiel, J. L.; Monsivais-Urenda, A.; Figueroa-Vega, N.; Moctezuma, J. F.; Burgos-Vargas, R.; Gonzalez-Amaro, R.; Rosenstein, Y.",2010,Anti-CD43 and anti-galectin-1 autoantibodies in patients with systemic lupus erythematosus,,,en
6806,WoS,"Garcia, M.; Herrero, A.; Castro, N.; Corral, L.; Rosenberg, A.",2010,The young stellar population of IC 1613 II. Physical properties of OB associations,,,en
6807,WoS,"Cortez, Jeronimo; Mena Marugan, Guillermo A.; Olmedo, Javier; Velhinho, Jose M.",2010,A unique Fock quantization for fields in non-stationary spacetimes,,,en
6808,WoS,"Fuentealba, Carmen; Figueroa, Ricardo; Morrone, Juan J.",2010,Endemism analysis of Chilean freshwater mollusks,,,en
6809,WoS,"Romero, Cristina; Noyola, Juan C.; Santiago, Ulises; Valladares, Renela M.; Valladares, Alexander; Valladares, Ariel A.",2010,A New Approach to the Computer Modeling of Amorphous Nanoporous Structures of Semiconducting and Metallic Materials: A Review,,,en
6810,WoS,"van Tussenbroek, Brigitta I.; Muhlia Montero, Manuela; Wong, Ricardo; Barba Santos, M. Guadalupe; Marquez Guzman, Judith",2010,Pollen limitation in a dioecious seagrass: evidence from a field experiment,,,en
6811,WoS,"Villegas-Sanchez, C. A.; Rivera-Madrid, R.; Arias-Gonzalez, J. E.",2010,Small-scale genetic connectivity of bicolor damselfish (Stegastes partitus) recruits in Mexican Caribbean reefs,,,en
6812,WoS,"Navedo, Juan G.; Orizaola, German; Masero, Jose A.; Overdijk, Otto; Sanchez-Guzman, Juan M.",2010,Long-distance travellers stopover for longer: a case study with spoonbills staying in North Iberia,,,en
6813,WoS,"Lora-Clavijo, F. D.; Cruz-Osorio, A.; Guzman, F. S.",2010,Evolution of a massless test scalar field on boson star space-times,,,en
6814,WoS,"Santibanez Lopez, Carlos; Sissom, W. David",2010,"A new species of the <i>Vaejovis eusthenura</i> group in Oaxaca, Mexico (Scorpiones: Vaejovidae)",,,en
6815,WoS,"Jimenez-Valdes, Miguel; Godinez-Alvarez, Hector; Caballero, Javier; Lira, Rafael",2010,Population Dynamics of <i>Agave marmorata</i> Roezl. under Two Contrasting Management Systems in Central Mexico,,,en
6816,WoS,"Noyola, Daniel E.; Jimenez-Capdeville, Maria E.; Demmler-Harrison, Gail J.",2010,Central nervous system disorders in infants with congenital cytomegalovirus infection,,,en
6817,WoS,"Ceballos, Gerardo; Pompa, Sandra; Espinoza, Eduardo; Garcia, Andres",2010,Extralimital Distribution of Galapagos (<i>Zalophus wollebaeki</i>) and Northern (<i>Eumetopias jubatus</i>) Sea Lions in Mexico,,,en
6818,WoS,"Richman, A. D.; Herrera M, L. G.; Ortega-Garcia, S.; Flores-Martinez, J. J.; Arroyo-Cabrales, J.; Morales-Malacara, J. B.",2010,Class II <i>DRB</i> polymorphism and sequence diversity in two vesper bats in the genus <i>Myotis</i>,,,en
6819,WoS,"Mancina, Carlos A.; Herrera M, L. Gerardo",2010,Disparate feeding strategies used by syntopic Antillean nectarivorous bats to obtain dietary protein,,,en
6820,WoS,"Quinto-Cortes, Consuelo D.; Arriola, Luis A.; Garcia-Hughes, Gianella; Garcia-Lopez, Rodrigo; Molina, Diana P.; Flores, Margarita; Palacios, Rafael; Pinero, Daniel",2010,"Genetic Characterization of Indigenous Peoples from Oaxaca, Mexico, and Its Relation to Linguistic and Geographic Isolation",,,en
6821,WoS,"Luna-Vega, Isolda; Magallon, Susana",2010,Phylogenetic Composition of Angiosperm Diversity in the Cloud Forests of Mexico,,,en
6822,WoS,"Arroyo-Cosultchi, Gabriel; Terrazas, Teresa; Arias, Salvador; Lopez-Mata, Lauro",2010,<i>Delimitation of</i> Neobuxbaumia mezcalaensis <i>and</i> N. multiareolata <i>(Cactaceae) based on multivariate analyses</i>,,,en
6823,WoS,"Cecilia Londono-Murcia, Maria; Tellez-Valdes, Oswaldo; Sanchez-Cordero, Victor",2010,Environmental heterogeneity of World Wildlife Fund for Nature ecoregions and implications for conservation in Neotropical biodiversity hotspots,,,en
6824,WoS,"Ricker, Martin; Hernandez, Hector M.",2010,"Tree and tree-like species of Mexico: gymnosperms, monocotyledons, and tree ferns",,,en
6825,WoS,"Rojas-Oropeza, M.; Dendooven, L.; Garza-Avendano, L.; Souza, V.; Philippot, L.; Cabirol, N.",2010,Effects of biosolids application on nitrogen dynamics and microbial structure in a saline-sodic soil of the former Lake Texcoco (Mexico),,,en
6826,WoS,"Segura-Puertas, Lourdes; Franco-Gordo, Carmen; Suarez-Morales, Eduardo; Gasca, Rebeca; Godinez-Dominguez, Enrique",2010,Summer composition and distribution of the jellyfish (Cnidaria: Medusozoa) in the shelf area off the central Mexican Pacific,,,en
6827,WoS,"Garcia, Andres; Valtierra-Azotla, Marciano; Lister, Bradford C.",2010,Behavioral responses to seasonality by two Sceloporine lizard species from a tropical dry forest,,,en
6828,WoS,"Mejia-Ortiz, Luis M.; Alvarez, Fernando",2010,"SEASONAL PATTERNS IN THE DISTRIBUTION OF THREE SPECIES OF FRESHWATER SHRIMP, <i>MACROBRACHIUM</i> SPP., ALONG AN ALTITUDINAL RIVER GRADIENT",,,en
6829,WoS,"Winfield, Ignacio; Chazaro-Olvera, Sergio; Horta-Puga, Guillermo; Angel Lozano-Aburto, Miguel; Arenas-Fuentes, Virgilio",2010,"Encrusting macrocrustaceans in the Parque Nacional Sistema Arrecifal Veracruzano: biovidersity, abundance and distribution",,,en
6830,WoS,"Cordoba-Aguilar, A.; Lopez-Valenzuela, A.; Brunel, O.",2010,Allometry in damselfly ornamental and genital traits: solving some pitfalls of allometry and sexual selection,,,en
6831,WoS,"Nicolalde-Morejon, Fernando; Vergara-Silva, Francisco; Gonzalez-Astorga, Jorge; Stevenson, Dennis W.",2010,"Character-based, population-level DNA barcoding in Mexican species of <i>Zamia</i> L. (Zamiaceae: Cycadales)",,,en
6832,WoS,"Groeninckx, Inge; Ochoterena, Helga; Smets, Erik; Dessein, Steven",2010,"Molecular phylogenetic and morphological study of <i>Kohautia</i> (Spermacoceae, Rubiaceae), with the recognition of the new genus <i>Cordylostigma</i>",,,en
6833,WoS,"Huerta, L.; Duran, A.; Falconi, R.; Flores, M.; Escamilla, R.",2010,Comparative study of the core level photoemission of the ZrB<sub>2</sub> and ZrB<sub>12</sub>,,,en
6834,WoS,"Nunez, Dario; Sarbach, Olivier",2010,Boundary conditions for the Baumgarte-Shapiro-Shibata-Nakamura formulation of Einstein's field equations,,,en
6835,WoS,"Cordero, Carlos",2010,"On the function of cornuti, sclerotized structures of the endophallus of Lepidoptera",,,en
6836,WoS,"Torres, Roxana; Velando, Alberto",2010,Color in a Long-Lived Tropical Seabird: Sexual Selection in a Life-History Context,,,en
6837,WoS,"Zanudo-Hernandez, Julia; del Castillo Aranda, Eugenia Gonzalez; Ramirez-Hernandez, Blanca C.; Pimienta-Barrios, Enrique; Castillo-Cruz, Isaac; Pimienta-Barrios, Eulogio",2010,Ecophysiological responses of <i>Opuntia</i> to water stress nder various semi-arid environments,,,en
6838,WoS,"Figueroa-Esquivel, Elsa M.; Puebla-Olivares, Fernando; Eguiarte, Luis E.; Nunez-Farfan, Juan",2010,Genetic structure of a bird-dispersed tropical tree (<i>Dendropanax arboreus</i>) in a fragmented landscape in Mexico,,,en
6839,WoS,"Lightfoot, David C.; Davidson, Ana D.; McGlone, Christopher M.; Parker, Dara G.",2010,RABBIT ABUNDANCE RELATIVE TO RAINFALL AND PLANT PRODUCTION IN NORTHERN CHIHUAHUAN DESERT GRASSLAND AND SHRUBLAND HABITATS,,,en
6840,WoS,"Lopez-Rull, Isabel; Salaberria, Concepcion; Gil, Diego",2010,SEASONAL DECLINE IN EGG SIZE AND YOLK ANDROGEN CONCENTRATION IN A DOUBLE BROODED PASSERINE,,,en
6841,WoS,"Cuartas-Hernandez, S.; Nunez-Farfan, J.; Smouse, P. E.",2010,Restricted pollen flow of <i>Dieffenbachia seguine</i> populations in fragmented and continuous tropical forest,,,en
6842,WoS,"Sarabia-Mendez, Marcela; Gallardo-Cabello, Manuel; Espino-Barr, Elaine; Anislado-Tolentino, Vicente",2010,"Characteristics of population dynamics of <i>Lutjanus guttatus</i> (Pisces: Lutjanidae) in Bufadero Bay, Michoacan, Mexico",,,en
6843,WoS,"Sandoval-Zapotitla, Estela; Terrazas, Teresa; Luis Villasenor, Jose",2010,Diversity of mineral inclusions in the subtribe Oncidiinae (Orchidaceae),,,en
6844,WoS,"Alcala, Raul E.; Mariano, Nestor A.; Osuna, Felipe; Abarca, Cesar A.",2010,An experimental test of the defensive role of sticky traps in the carnivorous plant <i>Pinguicula moranensis</i> (Lentibulariaceae),,,en
6845,WoS,"Cutz-Pool, Leopoldo Q.; Palacios-Vargas, Jose G.; Cano-Santana, Zenon; Castano-Meneses, Gabriela",2010,"DIVERSITY PATTERNS OF COLLEMBOLA IN AN ELEVATIONAL GRADIENT IN THE NW SLOPE OF IZTACCIHUATL VOLCANO, STATE OF MEXICO, MEXICO",,,en
6846,WoS,"Pagan, Israel; Betancourt, Mnica; de Miguel, Jacinto; Pinero, Daniel; Fraile, Aurora; Garcia-Arenal, Fernando",2010,"Genomic and biological characterization of chiltepin yellow mosaic virus, a new tymovirus infecting Capsicum annuum var. aviculare in Mexico",,,en
6847,WoS,"Sanchez-Garduno, Faustino; Maini, Philip K.; Perez-Velazquez, Judith",2010,A NON-LINEAR DEGENERATE EQUATION FOR DIRECT AGGREGATION AND TRAVELING WAVE DYNAMICS,,,en
6848,WoS,"Suarez-Morales, Eduardo; Morales-Vela, Benjamin; Padilla-Saldivar, Janneth; Silva-Briano, Marcelo",2010,"The copepod <i>Balaenophilus manatorum</i> (Ortiz, Lalana and Torres, 1992) (Harpacticoida), an epibiont of the Caribbean manatee",,,en
6849,WoS,"Tanarro, L. M.; Andres, N.; Zamorano, J. J.; Palacios, D.; Renschler, C. S.",2010,"Geomorphological evolution of a fluvial channel after primary lahar deposition: Huiloac Gorge, Popocatepetl volcano (Mexico)",,,en
6850,WoS,"Moya-Raygoza, Gustavo; Garcia-Medina, Cecilia",2010,Comparison of Fecundity and Body Size of Mexican and Argentinian Populations of <i>Dalbulus maidis</i> (Hemiptera: Cicadellidae),,,en
6851,WoS,"Santibanez-Lopez, Carlos E.; Francke, Oscar F.",2010,"New and poorly known species of the <i>mexicanus</i> group of the genus <i>Vaejovis</i> (Scorpiones: Vaejovidae) from Oaxaca, Mexico",,,en
6852,WoS,"Kampichler, Christian; Calme, Sophie; Weissenberger, Holger; Louis Arriaga-Weiss, Stefan",2010,"Indication of a species in an extinction vortex: The ocellated turkey on the Yucatan peninsula, Mexico",,,en
6853,WoS,"List, Rurik; Pergams, Oliver R. W.; Pacheco, Jesus; Cruzado, Juan; Ceballos, Gerardo",2010,Genetic divergence of <i>Microtus</i> <i>pennsylvanicus</i> <i>chihuahuensis</i> and conservation implications of marginal population extinctions,,,en
6854,WoS,"Guzman-Mendoza, Rafael; Castano-Meneses, Gabriela; del Carmen Herrera-Fuentes, Maria",2010,"Spatial and temporal variation of the diversity ants in the Botanic Garden from Zapotitlan de las Salinas Valley, Puebla",,,en
6855,WoS,"Herrera-Gonzalez, I. F.; Izrailev, F. M.; Tessieri, L.",2010,Anomalous thermal properties of a harmonic chain with correlated isotopic disorder,,,en
6856,WoS,"Zamora-Abrego, J. Gaston; Chang, Yuan-Mou; Zuniga-Vega, J. Jaime; Nieto-Montes de Oca, Adrian; Johnson, Jerald B.",2010,"DEMOGRAPHY OF A KNOB-SCALED LIZARD IN NORTHEASTERN QUERETARO, MEXICO",,,en
6857,WoS,"Espinosa-Reyes, Guillermo; Torres-Dosal, Arturo; Ilizaliturri, Cesar; Gonzalez-Mille, Donaji; Diaz-Barriga, Fernando; Mejia-Saavedra, Jesus",2010,Wild rodents (<i>Dipodomys merriami</i>) used as biomonitors in contaminated mining sites,,,en
6858,WoS,"Lara-Lopez, M. A.; Cepa, J.; Castaneda, H.; Perez Garcia, A. M.; Bongiovanni, A.; Ederoclite, A.; Fernandez Lorenzo, M.; Povic, M.; Sanchez-Portal, M.",2010,OTELO Survey: Optimal Emission-Line Flux Determination with OSIRIS/GTC,,,en
6859,WoS,"McCauley, Ross A.; Cortes-Palomec, Aurea C.; Oyama, Ken",2010,"Distribution, genetic structure, and conservation status of the rare microendemic species, <i>Guaiacum unijugum</i> (Zygophyllaceae) in the Cape Region of Baja California, Mexico",,,en
6860,WoS,"Argueelles-Tico, A.; Alvarez, F.; Alcaraz, G.",2010,"Shell utilization by the hermit crab <i>Clibanarius antillensis</i> Stimpson 1862 (Crustacea Anomura) in intertidal rocky pools at Montepio, Veracruz, Mexico",,,en
6861,WoS,"Floyd, Chris H.; Juan Flores-Martinez, Jose; Gerardo Herrera M, L.; Mejia, Omar; May, Bernie",2010,Conserving the endangered Mexican fishing bat (Myotis vivesi): genetic variation indicates extensive gene flow among islands in the Gulf of California,,,en
6862,WoS,"Gonzalez, Victor H.; Griswold, Terry; Ayala, Ricardo",2010,Two new species of nocturnal bees of the genus <i>Megalopta</i> (Hymenoptera: Halictidae) with keys to species,,,en
6863,WoS,"Maass, Manuel; Diaz-Delgado, Ricardo; Balvanera, Patricia; Castillo, Alicia; Martinez-Yrizar, Angelina",2010,Networks and Socio-Ecological Research Long Term Ecological LTER and LTSER in Ibero-America: The cases of Mexico and Spain,,,en
6864,WoS,"Luis Mena, Jose; Medellin, Rodrigo A.",2010,"Small mammal assemblages in a disturbed tropical landscape at Pozuzo, Peru",,,en
6865,WoS,"Cabrera-Guzman, Elisa; Hugo Reynoso, Victor",2010,"Use of sleeping perches by the lizard <i>Anolis uniformis</i> (Squamata: Polychrotidae) in the fragmented tropical rainforest at Los Tuxtlas, Mexico",,,en
6866,WoS,"Chavarria, Allan; Gonzalez, Maria C.; Dantan, Edgar; Cifuentes, Joaquin",2010,"Spatial and temporal evaluation of the diversity of freshwater Ascomycetes from the touristic channel Santa Cruz, Xochimilco, Mexico",,,en
6867,WoS,"Chaves, Oscar M.; Stoner, Kathryn E.",2010,River crossings by <i>Ateles geoffroyi</i> and <i>Alouatta pigra</i> in southern Mexico: A preliminary report,,,en
6868,WoS,"Gonzalez-Suarez, M.; Aurioles-Gamboa, D.; Gerber, L. R.",2010,Past exploitation of California sea lions did not lead to a genetic bottleneck in the Gulf of California,,,en
6869,WoS,"Macip-Rios, Rodrigo; Hugo Sustaita-Rodriguez, Victor; Barrios-Quiroz, Gabriel; Casas-Andreu, Gustavo",2010,"Alimentary Habits of the Mexican Mud Turtle (<i>Kinosternon integrum</i>) in Tonatico, Estado de Mexico",,,en
6870,WoS,"Escobar-Briones, Elva; Najera-Hillman, Eduardo; Alvarez, Fernando",2010,Unique 16S rRNA sequences of <i>Eurythenes gryllus</i> (Crustacea: Amphipoda: Lysianassidae) from the Gulf of Mexico abyssal plain,,,en
6871,WoS,"Rivera-Velazquez, Gustavo; Salgado-Ugarte, Isaias; Soto, Luis; Naranjo, Eduardo",2010,"A case study of length frequency distribution analysis of <i>Litopenaeus vannamei</i> (Boone, 1931) using kernel density estimators",,,en
6872,WoS,"Escalante, Patricia; Ibarra-Vazquez, Adolfo; Rosas-Escobar, Patricia",2010,Tropical montane nymphalids in Mexico: DNA barcodes reveal greater diversity,,,en
6873,WoS,"Osorno, Jose Luis; Nunez-de la-Mora, Alejandra; D'Alba, Liliana; Wingfield, John C.",2010,"Hormonal correlates of breeding behavior and pouch color in the Magnificent Frigatebird, <i>Fregata magnificens</i>",,,en
6874,WoS,"Arellano, Avelino F., Jr.; Hess, Peter G.; Edwards, D. P.; Baumgardner, D.",2010,Constraints on black carbon aerosol distribution from Measurement of Pollution in the Troposphere (MOPITT) CO,,,en
6875,WoS,"Sandoval-Zapotitla, Estela; Garcia-Cruz, Javier; Terrazas, Teresa; Luis Villasenor, Jose",2010,"Phylogenetic relationships of the subtribe Oncidiinae (Orchidaceae) inferred from structural and DNA sequences (<i>matK</i>, ITS): a combined approach",,,en
6876,WoS,"Cassaigne G, Ivonne; Medellin, Rodrigo A.; Guasco O, Jose A.",2010,MORTALITY DURING EPIZOOTICS IN BIGHORN SHEEP: EFFECTS OF INITIAL POPULATION SIZE AND CAUSE,,,en
6877,WoS,"Fernandez, Guillermo; Lank, David B.",2010,Do sex and habitat differences in antipredator behavior of Western Sandpipers Calidris mauri reflect cumulative or compensatory processes?,,,en
6878,WoS,"Hijar, Humberto; Mendez-Bermudez, J. G.; Santamaria-Holek, Ivan",2010,Mesoscopic nonequilibrium thermodynamics approach to non-Debye dielectric relaxation,,,en
6879,WoS,"Gutierrez, Jorge; Terrazas, Teresa; Hernandez, Luis; Martinez-Cabrera, Dorismilda",2010,<i>Floral anatomy of the</i> Milla <i>complex genera</i> (<i>Themidaceae</i>),,,en
6880,WoS,"Tellez Valdes, Oswaldo; Farias, Veronica; Davila Aranda, Patricia; Louis Stein, Janet; Lira Saade, Rafael; Botello, Francisco J.",2010,"Mammalian diversity in climatic domains for Tehuacan-Cuicatlan Biosphere Reserve, Mexico",,,en
6881,WoS,"Reyna-Fabian, Miriam E.; Pedro Laclette, Juan; Cummings, Michael P.; Garcia-Varela, Martin",2010,"Validating the systematic position of Plationus Segers, Murugan & Dumont, 1993 (Rotifera: Brachionidae) using sequences of the large subunit of the nuclear ribosomal DNA and of cytochrome C oxidase",,,en
6882,WoS,"Ramirez-Hernandez, Gustavo; Gerardo Herrera, L. M.",2010,Nutritional importance of seeds and arthropods to painted spiny pocket mice (<i>Lyomis pictus</i>): the effects of season and forest degradation,,,en
6883,WoS,"Golubov, Jordan; Mandujano, Maria C.; Martinez, Armando J.; Lopez-Portillo, Jorge",2010,Bee diversity on nectarful and nectarless honey mesquites,,,en
6884,WoS,"Lopez-Gomez, Victor; Cano-Santana, Zenon",2010,"Best host-plant attribute for species-area relationship, and effects of shade, conspecific distance and plant phenophase in an arthropod community within the grass <i>Muhlenbergia robusta</i>",,,en
6885,WoS,"Flores-Coto, Cesar; Sanvicente-Anorve, Laura; Sanchez-Ramirez, Marina",2010,Appendicularian distribution and diversity in the southern Gulf of Mexico,,,en
6886,WoS,"Drummond, Hugh; Torres, Roxana; Rodriguez Juarez, Cristina; Kim, Sin-Yeon",2010,Is kin cooperation going on undetected in marine bird colonies?,,,en
6887,WoS,"Ivan Velazquez-Abunader, Jose; Villalejo-Fuerte, Marcial; Tripp-Quezada, Arturo",2010,"Fecundity and sex ratio of <i>Panulirus inflatus</i> in the west coast of the Gulf of California, Mexico",,,en
6888,WoS,"Mendoza, V. M.; Mendoza, B.; Garduno, R.; Adem, J.",2010,Simulation of the surface temperature anomalies in the Northern Hemisphere during the last 300 years of the Little Ice Age using a thermodynamic model,,,en
6889,WoS,"Perez-Perez, E.; Read, P. L.; Moroz, I. M.",2010,Assessing eddy parameterization schemes in a differentially heated rotating annulus experiment,,,en
6890,WoS,"Palomino, Guadalupe; Martinez, Javier; Mendez, Ignacio",2010,"Genome size and karyotype analysis of <i>Agave aktites</i> Gentry (Agavaceae) from Sonora, Mexico",,,en
6891,WoS,"Serna-Lagunes, Ricardo; Jaime Zuniga-Vega, J.; Diaz-Rivera, Pablo; Clemente-Sanchez, Fernando; Perez-Vazquez, Arturo; Reta-Mendiola, Juan L.",2010,Morphological variability and body growth on four populations of <i>Crocodylus moreletii</i> in captivity,,,en
6892,WoS,"Sotuyo, Solange; Delgado-Salinas, Alfonso; Lewis, Gwilym P.; Chase, Mark W.; Ferrari, Luca; Oyama, Ken",2010,Phylogeography of the <i>Caesalpinia hintonii</i> complex (Leguminosae: Caesalpinioideae: Poincianella),,,en
6893,WoS,"Sanvicente-Anorve, Laura; Hermoso-Salazar, Margarita; Solis-Weiss, Vivianne; Salgado-Ugarte, Isaias H.",2010,"CARAPACE RELATIVE GROWTH OF TRAPEZIA LATREILLE, 1828 (DECAPODA, BRACHYURA), CRABS THAT ARE SYMBIONTS OF HARD CORALS, FROM CLIPPERTON ATOLL AND THE REVILLAGIGEDO ISLANDS: ECOLOGICAL AND ZOOGEOGRAPHICAL IMPLICATIONS",,,en
6894,WoS,"Velazquez-Rosas, Noe; Barradas, Victor L.; Vazquez-Santana, Sonia; Cruz-Ortega, Rocio; Garcia-Jimenez, Federico; Toledo-Alvarado, Edith; Orozco-Segovia, Alma",2010,Optical and morpho-functional traits of the leaves of tree species growing in a mountain cloud forest,,,en
6895,WoS,"Baraza, Elena; Valiente-Banuet, Alfonso; Delgado, Oscar D.",2010,Dietary supplementation in domestic goats may reduce grazing pressure on vegetation in semi-arid thornscrub,,,en
6896,WoS,"Palomares-Perez, Martin; Rodriguez-Leyva, Esteban; Brailovsky, Harry; Ramirez-Alarcon, Samuel",2010,"First Record of <i>Hesperolabops nigriceps</i> Reuter (Hemiptera: Miridae) on <i>Opuntia ficus</i>-<i>indica</i> in Milpa Alta, Mexico City",,,en
6897,WoS,"Bezares-Calderon, Luis A.; Becerra, Arturo; Salinas, Laura S.; Maldonado, Ernesto; Navarro, Rosa E.",2010,Bioinformatic analysis of P granule-related proteins: insights into germ granule evolution in nematodes,,,en
6898,WoS,"Mockford, Edward L.; Garcia Aldrete, Alfonso N.",2010,A new species of <i>Lachesilla</i> Westwood (Psocoptera: Lachesillidae) in the <i>andra</i> group with a proposed classification of the <i>andra</i> group,,,en
6899,WoS,"Antonio Gomez-Anaya, Jose; Palacios-Vargas, Jose G.; Castano-Meneses, Gabriela",2010,Abundance of springtails (Hexapoda: Collembola) and edaphic parameters from a deciduous dry forest,,,en
6900,WoS,"Feria-Arroyo, Teresa Patricia; Solano, Eloy; Garcia-Mendoza, Abisai",2010,Reassessment of the extinction risk of five species of the genus <i>Polianthes</i> L. (Agavaceae),,,en
6901,WoS,"Manuel Rodriguez, Jose; Rodriguez-Velez, Beatriz; Zaragoza-Caballero, Santiago; Arturo Noguera-Martinez, Felipe; Gonzalez-Soriano, Enrique; Ramirez-Garcia, Enrique",2010,"Diversity of Encyrtidae (Hymenoptera: Chalcidoidea) collected with Malaise traps in the tropical dry forest of San Javier, Sonora, Mexico",,,en
6902,WoS,"Medianero, Enrique; Paniagua C, Miguel; Castano-Meneses, Gabriela",2010,Temporal comparison in richness and composition of gall-inducing insects in the rainforest canopy,,,en
6903,WoS,"Alfonso, L.; Raga, G. B.; Baumgardner, D.",2010,The validity of the kinetic collection equation revisited - Part 2: Simulations for the hydrodynamic kernel,,,en
6904,WoS,"Contreras-Ramos, Atilano; von der Dunk, Klaus",2010,"A new species of <i>Corydalus</i> Latreille from Venezuela (Megaloptera, Corydalidae)",,,en
6905,WoS,"Hernandez-Sanchez, Aristeo; de Jesus-Navarrete, Alberto",2010,"Growth parameters, mortality and exploitation rate of <i>Octopus maya</i>, at Holbox, Quintana Roo, Mexico",,,en
