Number,Fuente,Author,Year,Title,Publication,Pages,Language
690,IMERNAR,"BONAPARTE, C. L.",1838,A geographical and comparative list of the birds of Europe and North America.,"London, John and Voorst",vii +67 p.,en
2002,IMERNAR,,1838,"Catalogue of the slender-tongued saurians, with descriptions of many new genera and species.","Ann. Mag. Nat. Hist., ser. 1, 1",388-394,en
2003,IMERNAR,,1838,A revision of the genera of bats Vespertilionidae and the description of some new genera and species.,"Mag. Zool. Bot., 2(12)",484-505,en
4311,IMERNAR,,1838,Animals in menageries.,"London, Lardner's Cabinet Encyclopedia.",vi+373 p,en
308,IMERNAR,"AUDUBON, J. J.",1839,A synopsis of the birds of North America.,"Edinburgh, Adam & Charles Black.",xii +359 p.,en
320,IMERNAR,"BACHMAN, J.",1839,Descriptions of several new species of American quadrupeds.,"Jour. Acad. Nat. Sci. Phila., 8",57-74.,en
4726,IMERNAR,"VIGORS, N. A.",1839,Ornithology.,"In The zoology of Captain Beechey's Voyage... in His Majesty's Ship Blossom, London, Henry G. Bobn.",13-40.,en
237,IMERNAR,ANÓNIMO.,1839,Ensayo estadístico sobre el Territorio de Colima.,Bol. Inst. Nacl. Geogr. Estad.,1:270-271,es
743,IMERNAR,"BOURCIER, J.",1839,Description de quelques espéces nouvelles d'oiseaux mouches.,"Rev. Zool., 2",294-295.,fr
1598,IMERNAR,,1839,Erpétologie générale ou histoire naturelle compléte des reptiles.,"Paris, Lib. Encycl. Roret. v. 5",viii+854 ?.,fr
309,IMERNAR,"AUDUBON, J. J.",1840,The birds of America.,"Philadelphia, J. J. Audubon y J. B. Chevalier.",7 v.,en
4565,IMERNAR,V. R.,1840,El lobo.,Mosaico Mexicano,4:521-524,es
1847,IMERNAR,"GIRAUD, P., Jr.",1841,A description of sixteen new species of North American birds described in the Annals of the New York Lyceum of Natural History.,New York.,18 p.,en
2004,IMERNAR,,1841,A new genus of Mexican glirine Mammalia.,"Ann. Mag. Nat. Hist., ser. 1, 7",521-522,en
238,IMERNAR,ANÓNIMO.,1841,El pucico-espín.,Mosaico Mex.,4:384-985,es
1599,IMERNAR,,1841,Erpétologie générale ou histoire naturelle compléte des reptiles.,"Paris, Lib. Encycl. Roret. v. 8",iii +792 p.,fr
310,IMERNAR,"AUDUBON, J. J. y J. BACHMAN.",1842,Description of new species of quadrupeds inhabiting North America.,"Jour. Acad. Nat. Sct. Phila., ser. 1, 8",280-323.,en
2005,IMERNAR,,1842,Descriptions of some new genera and fifty ün recorded species of Marnmalia.,"Ann. Mag. Nat. Hist., ser. 1, 10",255-267,en
4566,IMERNAR,V. R.,1842,Nociones sobre los dientes de los mamíferos.,Mosaico Mexicano,6:255-259,es
4788,IMERNAR,"WAGNER, A.",1843,Diagnosen neuer arten brasilischer handflügler.,"Arch. Naturgesch., jahrg. 9, 1",365-368,de
365,IMERNAR,"BAIRD, W. M. y S. F. BAIRD.",1843,"Descriptions of two species, supposed to be new, of the genus Tyrannula Swainson, found in Cumberland County, Pennsylvania.",Proc. Acad. Nat. Sci. Phila.,1:283-285.,en
1755,IMERNAR,NA,1843,Systoma reptilium.,"Vienna, Braïmuller und Sei- del.",106+vi p.,en
2006,IMERNAR,,1843,List of the specimens of Mammalia in the collection of the British Museum.,"London, British Museum.",xxiii-216 p.,en
2007,IMERNAR,,1843,"Letter on two new species of bats and a porcupine (Hystrix subspinosus, Licht.) in the British Museum.","Proc. Zool. Soc. London, pt. 11",20-22,en
1357,IMERNAR,"DeLattre, M. A.",1843,Echo du Monde Savant.,"no. 45, cols.","1069, 1070.",fr
4556,IMERNAR,"TSCHUDI, J. J. VON.",1844,Untersuchungen ueber die fauna Peruana.,"St. Gallen, Scheitlin und Zollikofer.",xxx+262 p.,de
