,Numero,Year,EXPEDIENTE,Nombre,NIVEL,Area,Disciplina,Subdisciplina,Especialidad,Institucion,Dependencia,Entidad,Pais,CVU
1,340566,2018,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,UNIVERSIDAD AUTONOMA DE Baja California,CAMPUS ENSENADA,Baja California,MEXICO,NA
2,369123,2019,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA DE POBLACIONES,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,UNIVERSIDAD AUTONOMA DE Baja California,CAMPUS ENSENADA,Baja California,MEXICO,NA
3,399796,2020,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,UNIVERSIDAD AUTONOMA DE Baja California,CAMPUS ENSENADA,Baja California,MEXICO,NA
4,432902,2022,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,GENETICA,GENETICA DE POBLACIONES,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,NA,FACULTAD DE CIENCIAS MARINAS,NA,MEXICO,NA
6,155688,2010,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
9,172286,2011,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
10,189926,2012,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,INSTITUTO DE INVESTIGACIONES BIOLOGICAS,Veracruz,MEXICO,72396
11,208481,2013,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,INSTITUTO DE INVESTIGACIONES BIOLOGICAS,Veracruz,MEXICO,72396
12,228228,2014,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,INSTITUTO DE INVESTIGACIONES BIOLOGICAS,Veracruz,MEXICO,72396
13,260846,2015,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
14,284133,2016,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
15,309183,2017,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
7,111957,2007,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
8,140123,2009,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
16,125442,2008,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
5,454140,2023,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,UNIVERSIDAD VERACRUZANA,NA,NA,MEXICO,NA
17,155691,2010,44168,ABASOLO_ PALACIO_ VICTOR_ ENRIQUE,C,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,ANTROPOLOGIA SOCIAL,ECOLOGIA CULTURAL,UNIVERSIDAD VERACRUZANA,CAMPUS ORIZABA-CORDOBA,Veracruz,MEXICO,36643
18,140125,2009,44168,ABASOLO_ PALACIO_ VICTOR_ ENRIQUE,C,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,,ECOLOGIA CULTURAL,UNIVERSIDAD VERACRUZANA,No Disponible,Veracruz,MEXICO,36643
19,172288,2011,44168,ABASOLO_ PALACIO_ VICTOR_ ENRIQUE,C,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,ANTROPOLOGIA SOCIAL,ECOLOGIA CULTURAL,UNIVERSIDAD VERACRUZANA,CAMPUS ORIZABA-CORDOBA,Veracruz,MEXICO,36643
26,350102,2018,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
27,379087,2019,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA VEGETAL,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
28,410216,2020,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
29,443699,2022,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,BOTANICA,ECOLOGIA VEGETAL,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,NA,,NA,MEXICO,NA
21,172290,2011,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-INSECTO,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,306279
22,189930,2012,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-INSECTO,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,306279
30,208488,2013,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-INSECTO,NA,NA,NA,NA,306279
23,271679,2015,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA VEGETAL,ECOLOGIA EVOLUTIVA DE INTERACCIONES,NA,NA,NA,MEXICO,NA
24,296214,2016,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA EVOLUTIVA DE INTERACCIONES,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
25,322518,2017,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA EVOLUTIVA DE INTERACCIONES,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
31,228236,2014,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA EVOLUTIVA DE INTERACCIONES,NA,NA,NA,NA,306279
20,454154,2023,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,3,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,UNIVERSIDAD AUTONOMA DE YUCATAN,NA,NA,MEXICO,NA
32,508189,2024,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,3,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
33,495852,2024,335647,ABELLA_ MEDRANO_ CARLOS_ ANTONIO,1,NA,CIENCIAS VETERINARIAS,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
70,321510,2017,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA TROFICA EN DEPREDADORES TOPE,"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NORESTE, S.C. (CIBNOR)",PROGRAMA DE ECOLOGIA PESQUERA,Baja California Sur,MEXICO,NA
71,348869,2018,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA TROFICA EN DEPREDADORES TOPE,"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NORESTE, S.C. (CIBNOR)",PROGRAMA DE ECOLOGIA PESQUERA,Baja California Sur,MEXICO,NA
72,377622,2019,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,HABITOS DE ALIMENTACION,ECOLOGIA TROFICA EN DEPREDADORES TOPE,NA,NA,NA,MEXICO,NA
73,408578,2020,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA TROFICA EN DEPREDADORES TOPE,UNIVERSIDAD AUTONOMA DE Baja California SUR,,Baja California Sur,MEXICO,NA
74,441947,2022,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",PECES Y ANIMALES SALVAJES,HABITOS DE ALIMENTACION,ECOLOGIA TROFICA EN DEPREDADORES TOPE,NA,,NA,MEXICO,NA
75,228341,2014,56983,ADAME_ VIVANCO_ MARIA_ FERNANDA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA DE HUMEDALES COSTEROS,GRIFFITH UNIVERSITY,,EXTERIOR,AUSTRALIA,163022
76,208586,2013,56983,ADAME_ VIVANCO_ MARIA_ FERNANDA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA DE HUMEDALES COSTEROS,INSTITUTO POLITECNICO NACIONAL,No Disponible,Ciudad de Mexico,MEXICO,163022
77,265441,2015,56983,ADAME_ VIVANCO_ MARIA_ FERNANDA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA DE HUMEDALES COSTEROS,GRIFFITH UNIVERSITY,,EXTERIOR,MEXICO,NA
78,155799,2010,216450,AGRAZ_ HERNANDEZ_ CLAUDIA_ MARICUSA,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,CIENCIAS DE LA TECNOLOGIA,TECNOLOGIA DEL MEDIO AMBIENTE,ECOLOGIA DE SISTEMAS COSTEROS,UNIVERSIDAD AUTONOMA DE CAMPECHE,"CENTRO DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL GO..EPOMEX",Campeche,MEXICO,216450
79,140222,2009,216450,AGRAZ_ HERNANDEZ_ CLAUDIA_ MARICUSA,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,CIENCIAS DE LA TECNOLOGIA,ECOLOGIA,ECOLOGIA DE SISTEMAS COSTEROS,UNIVERSIDAD AUTONOMA DE CAMPECHE,"CENTRO DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL GO..EPOMEX4310A00431",Campeche,MEXICO,216450
80,125542,2008,216450,AGRAZ_ HERNANDEZ_ CLAUDIA_ MARICUSA,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,CIENCIAS DE LA TECNOLOGIA,TECNOLOGIA DEL MEDIO AMBIENTE,ECOLOGIA DE SISTEMAS COSTEROS,UNIVERSIDAD AUTONOMA DE CAMPECHE,PROGRAMA DE ECOLOGIA APLICADA Y MANEJO DE AMBIENTES...ECOMAT4310B00431,Campeche,MEXICO,216450
81,56944,1999,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE PASTIZALES,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",CIR DEL PACIFICO CENTRO (JAL.),Jalisco,MEXICO,NA
82,57025,2000,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE PASTIZALES,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,NA
85,64499,2001,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,AGRICULTURA EN ZONAS ARIDAS,ECOLOGIA DE PASTIZALES,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,NA
86,72526,2002,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,AGRICULTURA EN ZONAS ARIDAS,ECOLOGIA DE PASTIZALES,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,NA
87,81725,2003,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,AGRICULTURA EN ZONAS ARIDAS,ECOLOGIA DE PASTIZALES,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,NA
91,172403,2011,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,2,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARI,AGRONOMIA,ECOLOGIA Y FISIOLOG-A MOLECULAR DE PLANTAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,9540
83,49693,1998,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,BIOLOGIA,ECOLOGIA,ECOLOGIA Y FISIOLOGIA MOLECULAR DE GRAMINEAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",CIR DEL PACIFICO CENTRO (JAL.),Jalisco,MEXICO,NA
88,101120,2005,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA AGRICOLA,ECOLOGIA Y FISIOLOGIA MOLECULAR DE GRAMINEAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,NA
89,112049,2007,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA AGRICOLA,ECOLOGIA Y FISIOLOGIA MOLECULAR DE GRAMINEAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,9540
93,125543,2008,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,,,ECOLOGIA Y FISIOLOGIA MOLECULAR DE GRAMINEAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,9540
84,155801,2010,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,2,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,AGRONOMIA,ECOLOGIA Y FISIOLOGIA MOLECULAR DE PLANTAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,9540
90,140223,2009,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,2,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,BIOTECNOLOGIA AGRICOLA,ECOLOGIA Y FISIOLOGIA MOLECULAR DE PLANTAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,9540
92,190044,2012,9540,AGUADO_ SANTACRUZ_ GERARDO_ ARMANDO,2,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,AGRONOMIA,ECOLOGIA Y FISIOLOGIA MOLECULAR DE PLANTAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS  Y PECUARIAS",CIR DEL CENTRO (GTO.),Guanajuato,MEXICO,9540
96,345095,2018,216588,AGUILAR_ BENITEZ_ GISELA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,AGRONOMIA,AGROECOLOGIA,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE INVESTIGACIONES DE ZONAS DESERTICAS,San Luis Potosi,MEXICO,NA
97,373657,2019,216588,AGUILAR_ BENITEZ_ GISELA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,OTROS,AGROECOLOGIA,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE INVESTIGACIONES DE ZONAS DESERTICAS,San Luis Potosi,MEXICO,NA
98,404453,2020,216588,AGUILAR_ BENITEZ_ GISELA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,AGRONOMIA,AGROECOLOGIA,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE INVESTIGACIONES DE ZONAS DESERTICAS,San Luis Potosi,MEXICO,NA
99,437676,2022,216588,AGUILAR_ BENITEZ_ GISELA,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",AGRONOMIA,OTROS,AGROECOLOGIA,NA,INSTITUTO DE INVESTIGACIONES DE ZONAS DESERTICAS,NA,MEXICO,NA
94,292667,2016,216588,AGUILAR_ BENITEZ_ GISELA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,AGRONOMIA,AGROECOLOGIA - APROVECHAMIENTO DE RECURSOS BIOTICO,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE INVESTIGACIONES DE ZONAS DESERTICAS,San Luis Potosi,MEXICO,NA
95,318073,2017,216588,AGUILAR_ BENITEZ_ GISELA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,AGRONOMIA,AGROECOLOGIA - APROVECHAMIENTO DE RECURSOS BIOTICO,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE INVESTIGACIONES DE ZONAS DESERTICAS,San Luis Potosi,MEXICO,NA
100,454492,2023,211223,AGUILAR_ DORANTES_ KARLA_ MARIA,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,CONSERVACION ECOLOGICA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS (UAEM),NA,NA,MEXICO,NA
101,317613,2017,211223,AGUILAR_ DORANTES_ KARLA_ MARIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"ECOLOGIA, FISIOLOGIA Y MANEJO DE PTERIDOFITAS",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
102,344648,2018,211223,AGUILAR_ DORANTES_ KARLA_ MARIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"ECOLOGIA, FISIOLOGIA Y MANEJO DE PTERIDOFITAS",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
103,373209,2019,211223,AGUILAR_ DORANTES_ KARLA_ MARIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,FISIOLOGIA VEGETAL,"ECOLOGIA, FISIOLOGIA Y MANEJO DE PTERIDOFITAS",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
104,403987,2020,211223,AGUILAR_ DORANTES_ KARLA_ MARIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"ECOLOGIA, FISIOLOGIA Y MANEJO DE PTERIDOFITAS",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
105,437177,2022,211223,AGUILAR_ DORANTES_ KARLA_ MARIA,1,II.- BIOLOGIA Y QUIMICA,BOTANICA,FISIOLOGIA VEGETAL,"ECOLOGIA, FISIOLOGIA Y MANEJO DE PTERIDOFITAS",NA,,NA,MEXICO,NA
106,190102,2012,200860,AGUILAR_ IBARRA_ ALONSO,1,VI.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ECONOMIA SECTORIAL,ECONOMIA AMBIENTAL Y ECOLOGICA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ECONOMICAS,Ciudad de Mexico,MEXICO,200860
107,208659,2013,200860,AGUILAR_ IBARRA_ ALONSO,1,VI.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ECONOMIA SECTORIAL,ECONOMIA AMBIENTAL Y ECOLOGICA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ECONOMICAS,Ciudad de Mexico,MEXICO,200860
108,112083,2007,200860,AGUILAR_ IBARRA_ ALONSO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,INTEGRACION ECONOMIA-ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ECONOMICAS,Ciudad de Mexico,MEXICO,200860
109,140268,2009,200860,AGUILAR_ IBARRA_ ALONSO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,,INTEGRACION ECONOMIA-ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ECONOMICAS,Ciudad de Mexico,MEXICO,200860
110,125587,2008,200860,AGUILAR_ IBARRA_ ALONSO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,INTEGRACION ECONOMIA-ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ECONOMICAS,Ciudad de Mexico,MEXICO,200860
